altitude_m,altitude_ft,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3,speed_of_sound_m_s,dynamic_viscosity_Pa_s
0,0.0,288.150,15.000,101325.0000,1013.250000,1.224978,340.2970,1.7893e-05
500,1640.4,284.900,11.750,95460.9370,954.609370,1.167249,338.3725,1.7736e-05
1000,3280.8,281.650,8.500,89874.7555,898.747555,1.111625,336.4370,1.7578e-05
1500,4921.3,278.400,5.250,84556.2675,845.562675,1.058052,334.4902,1.7419e-05
2000,6561.7,275.150,2.000,79495.5466,794.955466,1.006476,332.5321,1.7259e-05
2500,8202.1,271.900,-1.250,74682.9248,746.829248,0.956847,330.5624,1.7098e-05
3000,9842.5,268.650,-4.500,70108.9879,701.089879,0.909112,328.5809,1.6936e-05
3500,11482.9,265.400,-7.750,65764.5724,657.645724,0.863220,326.5873,1.6774e-05
4000,13123.4,262.150,-11.000,61640.7612,616.407612,0.819122,324.5815,1.6610e-05
4500,14763.8,258.900,-14.250,57728.8805,577.288805,0.776768,322.5632,1.6446e-05
5000,16404.2,255.650,-17.500,54020.4954,540.204954,0.736111,320.5323,1.6280e-05
5500,18044.6,252.400,-20.750,50507.4066,505.074066,0.697102,318.4883,1.6114e-05
6000,19685.0,249.150,-24.000,47181.6467,471.816467,0.659694,316.4312,1.5947e-05
6500,21325.5,245.900,-27.250,44035.4761,440.354761,0.623842,314.3606,1.5778e-05
7000,22965.9,242.650,-30.500,41061.3799,410.613799,0.589500,312.2763,1.5609e-05
7500,24606.3,239.400,-33.750,38252.0638,382.520638,0.556623,310.1779,1.5438e-05
8000,26246.7,236.150,-37.000,35600.4507,356.004507,0.525168,308.0653,1.5267e-05
8500,27887.1,232.900,-40.250,33099.6767,330.996767,0.495091,305.9381,1.5094e-05
9000,29527.6,229.650,-43.500,30743.0879,307.430879,0.466349,303.7960,1.4921e-05
9500,31168.0,226.400,-46.750,28524.2365,285.242365,0.438902,301.6387,1.4746e-05
10000,32808.4,223.150,-50.000,26436.8774,264.368774,0.412709,299.4658,1.4570e-05
10500,34448.8,219.900,-53.250,24474.9643,244.749643,0.387728,297.2771,1.4394e-05
11000,36089.2,216.650,-56.500,22632.6464,226.326464,0.363921,295.0721,1.4215e-05
11500,37729.7,216.650,-56.500,20916.2506,209.162506,0.336322,295.0721,1.4215e-05
12000,39370.1,216.650,-56.500,19330.4881,193.304881,0.310824,295.0721,1.4215e-05
12500,41010.5,216.650,-56.500,17864.9500,178.649500,0.287259,295.0721,1.4215e-05
13000,42650.9,216.650,-56.500,16510.5214,165.105214,0.265480,295.0721,1.4215e-05
13500,44291.3,216.650,-56.500,15258.7787,152.587787,0.245353,295.0721,1.4215e-05
14000,45931.8,216.650,-56.500,14101.9366,141.019366,0.226752,295.0721,1.4215e-05
14500,47572.2,216.650,-56.500,13032.8003,130.328003,0.209560,295.0721,1.4215e-05
15000,49212.6,216.650,-56.500,12044.7205,120.447205,0.193673,295.0721,1.4215e-05
15500,50853.0,216.650,-56.500,11131.5517,111.315517,0.178989,295.0721,1.4215e-05
16000,52493.4,216.650,-56.500,10287.6148,102.876148,0.165419,295.0721,1.4215e-05
16500,54133.9,216.650,-56.500,9507.6607,95.076607,0.152878,295.0721,1.4215e-05
17000,55774.3,216.650,-56.500,8786.8388,87.868388,0.141288,295.0721,1.4215e-05
17500,57414.7,216.650,-56.500,8120.6659,81.206659,0.130576,295.0721,1.4215e-05
18000,59055.1,216.650,-56.500,7504.9988,75.049988,0.120676,295.0721,1.4215e-05
18500,60695.5,216.650,-56.500,6936.0084,69.360084,0.111527,295.0721,1.4215e-05
19000,62336.0,216.650,-56.500,6410.1560,64.101560,0.103072,295.0721,1.4215e-05
19500,63976.4,216.650,-56.500,5924.1709,59.241709,0.095258,295.0721,1.4215e-05
20000,65616.8,216.650,-56.500,5475.0308,54.750308,0.088036,295.0721,1.4215e-05
20500,67257.2,217.150,-56.000,5060.2717,50.602717,0.081179,295.4124,1.4243e-05
21000,68897.6,217.650,-55.500,4677.8999,46.778999,0.074873,295.7523,1.4270e-05
21500,70538.1,218.150,-55.000,4325.2013,43.252013,0.069069,296.0919,1.4298e-05
22000,72178.5,218.650,-54.500,3999.8127,39.998127,0.063727,296.4310,1.4325e-05
22500,73818.9,219.150,-54.000,3699.5643,36.995643,0.058808,296.7697,1.4353e-05
